"Date","Price","Open","High","Low","Vol.","Change %"
"11/22/2022","107.15","107.70","107.75","107.12","","-0.58%"
"11/21/2022","107.78","106.92","107.99","106.90","","0.80%"
"11/20/2022","106.92","106.97","106.97","106.89","","-0.05%"
"11/18/2022","106.97","106.69","107.04","106.34","","0.26%"
"11/17/2022","106.69","106.27","107.24","106.10","","0.39%"
"11/16/2022","106.28","106.58","106.78","105.86","","-0.12%"
"11/15/2022","106.40","107.00","107.10","105.34","","-0.24%"
"11/14/2022","106.66","106.42","107.27","106.48","","0.35%"
"11/11/2022","106.29","108.24","108.44","106.28","","-1.77%"
"11/10/2022","108.21","110.30","110.99","107.71","","-2.12%"
"11/09/2022","110.55","109.65","110.64","109.45","","0.83%"
"11/08/2022","109.64","110.06","110.61","109.37","","-0.44%"
"11/07/2022","110.12","110.79","111.27","110.05","","-0.68%"
"11/04/2022","110.88","112.97","112.99","110.71","","-1.82%"
"11/03/2022","112.93","112.17","113.15","111.82","","1.42%"
"11/02/2022","111.35","111.54","112.15","110.43","","-0.12%"
"11/01/2022","111.48","111.52","111.78","110.72","","-0.04%"
"10/31/2022","111.53","110.67","111.67","110.72","","0.70%"
"10/28/2022","110.75","110.50","111.04","110.29","","0.15%"
"10/27/2022","110.59","109.62","110.62","109.54","","0.81%"
"10/26/2022","109.70","110.96","111.14","109.63","","-1.13%"
"10/25/2022","110.95","111.82","112.13","110.76","","-0.93%"
"10/24/2022","111.99","111.88","112.53","111.47","","-0.02%"
"10/21/2022","112.01","112.94","113.94","111.70","","-0.77%"
"10/20/2022","112.88","112.99","113.09","112.17","","-0.09%"
"10/19/2022","112.98","111.91","113.10","111.92","","0.76%"
"10/18/2022","112.13","112.07","112.46","111.77","","0.08%"
"10/17/2022","112.04","113.22","113.22","111.92","","-1.12%"
"10/14/2022","113.31","112.47","113.42","112.16","","0.84%"
"10/13/2022","112.36","113.24","113.92","112.15","","-0.84%"
"10/12/2022","113.32","113.31","113.59","113.05","","0.09%"
"10/11/2022","113.22","113.08","113.50","112.41","","0.07%"
"10/10/2022","113.14","112.75","113.33","112.62","","0.31%"
"10/07/2022","112.79","112.25","112.88","111.95","","0.48%"
"10/06/2022","112.26","111.02","112.31","110.78","","1.07%"
"10/05/2022","111.07","110.22","111.74","110.09","","0.92%"
"10/04/2022","110.07","111.59","111.89","110.06","","-1.50%"
"10/03/2022","111.75","112.17","112.54","111.47","","-0.33%"
"09/30/2022","112.12","111.75","112.67","111.58","","-0.12%"
"09/29/2022","112.25","113.01","113.79","111.77","","-0.31%"
"09/28/2022","112.60","114.18","114.78","112.56","","-1.32%"
"09/27/2022","114.11","114.02","114.47","113.33","","0.00%"
"09/26/2022","114.10","113.02","114.53","112.94","","0.80%"
"09/23/2022","113.19","111.24","113.23","111.08","","1.65%"
"09/22/2022","111.35","111.48","111.81","110.46","","0.64%"
"09/21/2022","110.64","110.16","111.58","110.13","","0.39%"
"09/20/2022","110.21","109.58","110.29","109.36","","0.44%"
"09/19/2022","109.74","109.64","110.18","109.49","","-0.02%"
"09/16/2022","109.76","109.80","110.26","109.47","","0.02%"
"09/15/2022","109.74","109.61","109.92","109.42","","0.07%"
"09/14/2022","109.66","109.97","109.93","109.28","","-0.14%"
"09/13/2022","109.82","108.23","110.01","107.68","","1.37%"
"09/12/2022","108.33","108.60","108.86","107.81","","-0.62%"
"09/09/2022","109.00","109.57","109.54","108.36","","-0.64%"
"09/08/2022","109.71","109.67","110.24","109.33","","-0.12%"
"09/07/2022","109.84","110.32","110.79","109.53","","-0.34%"
"09/06/2022","110.21","109.60","110.55","109.38","","0.35%"
"09/05/2022","109.83","109.61","110.27","109.72","","0.27%"
"09/02/2022","109.53","109.64","109.72","108.93","","-0.14%"
"09/01/2022","109.69","108.84","109.98","108.77","","0.91%"
"08/31/2022","108.70","108.75","109.20","108.38","","-0.07%"
"08/30/2022","108.77","108.70","109.11","108.29","","-0.06%"
"08/29/2022","108.83","108.84","109.48","108.49","","0.03%"
"08/26/2022","108.80","108.47","108.87","107.59","","0.31%"
"08/25/2022","108.47","108.63","108.69","107.99","","-0.19%"
"08/24/2022","108.68","108.52","109.11","108.36","","0.05%"
"08/23/2022","108.62","109.00","109.27","108.08","","-0.39%"
"08/22/2022","109.05","108.10","109.10","108.08","","0.81%"
"08/19/2022","108.17","107.50","108.21","107.47","","0.64%"
"08/18/2022","107.48","106.68","107.56","106.50","","0.85%"
"08/17/2022","106.57","106.45","106.89","106.31","","0.07%"
"08/16/2022","106.50","106.48","106.94","106.32","","-0.04%"
"08/15/2022","106.55","105.67","106.55","105.55","","0.87%"
"08/12/2022","105.63","105.16","105.88","105.09","","0.51%"
"08/11/2022","105.09","105.21","105.46","104.65","","-0.10%"
"08/10/2022","105.20","106.34","106.40","104.64","","-1.11%"
"08/09/2022","106.37","106.33","106.41","105.97","","-0.06%"
"08/08/2022","106.43","106.58","106.80","106.09","","-0.17%"
"08/05/2022","106.62","105.72","106.93","105.69","","0.88%"
"08/04/2022","105.69","106.48","106.51","105.67","","-0.76%"
"08/03/2022","106.51","106.43","106.82","105.97","","0.25%"
"08/02/2022","106.24","105.36","106.35","105.05","","0.75%"
"08/01/2022","105.45","105.83","106.03","105.24","","-0.43%"
"07/29/2022","105.90","106.21","106.66","105.54","","-0.42%"
"07/28/2022","106.35","106.37","106.97","106.06","","-0.09%"
"07/27/2022","106.45","107.13","107.43","106.26","","-0.69%"
"07/26/2022","107.19","106.45","107.28","106.20","","0.66%"
"07/25/2022","106.48","106.54","106.88","106.19","","-0.23%"
"07/22/2022","106.73","106.59","107.36","106.11","","-0.17%"
"07/21/2022","106.91","107.08","107.32","106.42","","-0.16%"
"07/20/2022","107.08","106.67","107.25","106.39","","0.37%"
"07/19/2022","106.68","107.49","107.63","106.40","","-0.64%"
"07/18/2022","107.37","107.98","108.04","106.89","","-0.64%"
"07/15/2022","108.06","108.67","108.71","107.91","","-0.44%"
"07/14/2022","108.54","108.14","109.29","108.14","","0.54%"
"07/13/2022","107.96","108.18","108.58","107.48","","-0.11%"
"07/12/2022","108.07","108.18","108.56","107.84","","0.05%"
"07/11/2022","108.02","106.89","108.27","106.92","","0.95%"
"07/08/2022","107.01","107.04","107.79","106.81","","-0.11%"
"07/07/2022","107.13","107.07","107.24","106.71","","0.03%"
"07/06/2022","107.10","106.49","107.26","106.36","","0.53%"
"07/05/2022","106.54","105.14","106.79","105.05","","1.33%"
"07/04/2022","105.14","105.12","105.25","104.82","","0.00%"
"07/01/2022","105.14","104.78","105.64","104.74","","0.43%"
"06/30/2022","104.68","105.06","105.54","104.64","","-0.40%"
