DATE,WM2NS
2017-11-06,13822.2
2017-11-13,13825.5
2017-11-20,13821.2
2017-11-27,13803.6
2017-12-04,13878.3
2017-12-11,13935.0
2017-12-18,13965.8
2017-12-25,13934.4
2018-01-01,13962.7
2018-01-08,13969.3
2018-01-15,13920.3
2018-01-22,13823.5
2018-01-29,13745.1
2018-02-05,13839.2
2018-02-12,13835.0
2018-02-19,13841.9
2018-02-26,13841.0
2018-03-05,13993.0
2018-03-12,14015.2
2018-03-19,14018.9
2018-03-26,13994.3
2018-04-02,14151.3
2018-04-09,14148.5
2018-04-16,14169.7
2018-04-23,14008.6
2018-04-30,13915.7
2018-05-07,13975.4
2018-05-14,13991.8
2018-05-21,13976.1
2018-05-28,13958.9
2018-06-04,14080.9
2018-06-11,14091.2
2018-06-18,14108.4
2018-06-25,13987.3
2018-07-02,14112.3
2018-07-09,14149.7
2018-07-16,14140.3
2018-07-23,14058.1
2018-07-30,14069.7
2018-08-06,14169.2
2018-08-13,14177.5
2018-08-20,14166.7
2018-08-27,14130.4
2018-09-03,14222.0
2018-09-10,14227.0
2018-09-17,14233.1
2018-09-24,14113.1
2018-10-01,14202.0
2018-10-08,14213.3
2018-10-15,14243.1
2018-10-22,14189.0
2018-10-29,14152.2
2018-11-05,14243.1
2018-11-12,14232.9
2018-11-19,14271.1
2018-11-26,14221.3
2018-12-03,14349.5
2018-12-10,14393.2
2018-12-17,14414.7
2018-12-24,14482.4
2018-12-31,14529.5
2019-01-07,14533.9
2019-01-14,14485.4
2019-01-21,14393.7
2019-01-28,14324.5
2019-02-04,14389.3
2019-02-11,14393.8
2019-02-18,14393.7
2019-02-25,14373.7
2019-03-04,14519.1
2019-03-11,14561.9
2019-03-18,14571.7
2019-03-25,14532.7
2019-04-01,14652.3
2019-04-08,14700.3
2019-04-15,14722.7
2019-04-22,14590.0
2019-04-29,14475.5
2019-05-06,14553.0
2019-05-13,14551.0
2019-05-20,14575.9
2019-05-27,14565.3
2019-06-03,14697.1
2019-06-10,14738.6
2019-06-17,14779.2
2019-06-24,14659.0
2019-07-01,14778.0
2019-07-08,14854.4
2019-07-15,14810.0
2019-07-22,14777.7
2019-07-29,14789.1
2019-08-05,14923.6
2019-08-12,14906.6
2019-08-19,14893.2
2019-08-26,14831.4
2019-09-02,14946.3
2019-09-09,14997.4
2019-09-16,15002.7
2019-09-23,14933.2
2019-09-30,15012.9
2019-10-07,15113.9
2019-10-14,15125.5
2019-10-21,15116.7
2019-10-28,15077.4
2019-11-04,15219.6
2019-11-11,15222.3
2019-11-18,15281.7
2019-11-25,15231.3
2019-12-02,15326.6
2019-12-09,15336.8
2019-12-16,15427.8
2019-12-23,15440.9
2019-12-30,15452.4
2020-01-06,15484.9
2020-01-13,15452.8
2020-01-20,15406.7
2020-01-27,15294.0
2020-02-03,15358.3
2020-02-10,15361.7
2020-02-17,15392.9
2020-02-24,15328.1
2020-03-02,15492.8
2020-03-09,15628.6
2020-03-16,15823.3
2020-03-23,16197.3
2020-03-30,16619.0
2020-04-06,16777.8
2020-04-13,16924.6
2020-04-20,17184.9
2020-04-27,17323.3
2020-05-04,17540.3
2020-05-11,17678.2
2020-05-18,17810.0
2020-05-25,17784.7
2020-06-01,17915.4
2020-06-08,18026.7
2020-06-15,18115.3
2020-06-22,18106.4
2020-06-29,18160.5
2020-07-06,18343.8
2020-07-13,18346.7
2020-07-20,18245.4
2020-07-27,18112.2
2020-08-03,18224.3
2020-08-10,18290.7
2020-08-17,18361.1
2020-08-24,18261.4
2020-08-31,18380.8
2020-09-07,18516.5
2020-09-14,18600.9
2020-09-21,18554.1
2020-09-28,18493.8
2020-10-05,18636.7
2020-10-12,18649.9
2020-10-19,18706.9
2020-10-26,18645.3
2020-11-02,18834.1
2020-11-09,18914.7
2020-11-16,18999.1
2020-11-23,18974.5
2020-11-30,19055.3
2020-12-07,19162.0
2020-12-14,19212.5
2020-12-21,19266.4
2020-12-28,19297.4
2021-01-04,19365.8
2021-01-11,19429.1
2021-01-18,19401.6
2021-01-25,19284.1
2021-02-01,19389.3
2021-02-08,19424.6
2021-02-15,19532.8
2021-02-22,19544.8
2021-03-01,19630.9
2021-03-08,19726.9
2021-03-15,19863.2
2021-03-22,20040.5
2021-03-29,20115.9
2021-04-05,20322.3
2021-04-12,20312.4
2021-04-19,20305.4
2021-04-26,20151.1
2021-05-03,20277.0
2021-05-10,20358.7
2021-05-17,20416.6
2021-05-24,20236.3
2021-05-31,20284.5
2021-06-07,20429.1
2021-06-14,20515.2
2021-06-21,20417.7
2021-06-28,20370.1
2021-07-05,20548.5
2021-07-12,20544.9
2021-07-19,20575.6
2021-07-26,20527.4
2021-08-02,20654.1
2021-08-09,20714.1
2021-08-16,20784.8
2021-08-23,20757.1
2021-08-30,20790.0
2021-09-06,20930.6
2021-09-13,20975.6
2021-09-20,20930.6
2021-09-27,20839.1
2021-10-04,21045.1
2021-10-11,21070.0
2021-10-18,21147.1
2021-10-25,21036.4
2021-11-01,21180.3
2021-11-08,21264.9
2021-11-15,21327.4
2021-11-22,21355.3
2021-11-29,21384.3
2021-12-06,21528.4
2021-12-13,21587.4
2021-12-20,21712.0
2021-12-27,21754.7
2022-01-03,21729.8
2022-01-10,21741.7
2022-01-17,21717.3
2022-01-24,21529.4
2022-01-31,21518.9
2022-02-07,21557.3
2022-02-14,21571.2
2022-02-21,21573.4
2022-02-28,21659.1
2022-03-07,21805.0
2022-03-14,21855.4
2022-03-21,21857.7
2022-03-28,21846.1
2022-04-04,21993.1
2022-04-11,21979.2
2022-04-18,22052.1
2022-04-25,21604.1
2022-05-02,21610.4
2022-05-09,21548.7
2022-05-16,21581.7
2022-05-23,21538.6
2022-05-30,21525.5
2022-06-06,21628.1
2022-06-13,21603.0
2022-06-20,21560.4
2022-06-27,21535.6
2022-07-04,21633.2
2022-07-11,21596.8
2022-07-18,21573.2
2022-07-25,21523.5
2022-08-01,21592.8
2022-08-08,21579.3
2022-08-15,21594.0
2022-08-22,21538.4
2022-08-29,21471.1
2022-09-05,21532.0
2022-09-12,21534.9
2022-09-19,21481.8
2022-09-26,21338.5
2022-10-03,21409.8
2022-10-10,21369.6
2022-10-17,21424.5
2022-10-24,21288.9
2022-10-31,21346.7
